Team_Index,Team,Conference,W,L,Win_Pct,Sets,Aces,Assists,Block_Solos,Block_Assists,Digs,Kills,Errors,Attacks,Opp_Kills,Opp_Errors,Opp_Attacks
1,A&M-Corpus Christi,Southland,22,10,0.688,111,157,1446,89,197,1821,1601,541,4005,1300,536,3947
2,Abilene Christian,WAC,11,18,0.379,113,192,1303,54,219,1714,1417,679,4095,1347,507,3849
3,Air Force,Mountain West,17,12,0.586,113,131,1345,81,341,1416,1456,578,3693,1412,637,3704
4,Akron,MAC,13,16,0.448,112,221,1283,29,391,1516,1370,568,3847,1408,577,3766
5,Alabama,SEC,11,18,0.379,100,148,1101,44,267,1356,1180,458,3332,1274,487,3356
6,Alabama A&M,SWAC,12,19,0.387,113,140,1071,47,274,1355,1197,606,3448,1334,570,3551
7,Alabama St.,SWAC,18,13,0.581,109,210,1235,60,262,1383,1332,560,3513,1258,551,3433
8,Alcorn,SWAC,1,21,0.045,71,91,490,16,90,834,540,371,2190,920,273,2239
9,American,Patriot,20,11,0.645,117,211,1398,51,392,1683,1506,569,3949,1345,630,3954
10,App State,Sun Belt,14,15,0.483,109,174,1155,62,378,1581,1275,498,3706,1376,621,3858
11,Arizona,Pac-12,8,23,0.258,115,149,1237,40,328,1445,1372,620,3693,1465,528,3712
12,Arizona St.,Pac-12,26,6,0.812,111,228,1344,64,368,1542,1458,410,3632,1293,627,3706
13,Ark.-Pine Bluff,SWAC,6,25,0.194,102,130,817,55,180,1360,933,544,3373,1308,501,3484
14,Arkansas,SEC,25,5,0.833,111,208,1440,35,389,1708,1537,494,3968,1251,555,3801
15,Arkansas St.,Sun Belt,16,15,0.516,108,152,1292,53,250,1740,1419,701,4064,1256,522,3795
16,Army West Point,Patriot,14,12,0.538,94,117,1061,82,280,1578,1183,541,3513,1108,543,3511
17,Auburn,SEC,20,10,0.667,115,159,1289,36,506,1483,1416,512,3768,1375,646,3800
18,Austin Peay,ASUN,11,18,0.379,106,123,1145,70,326,1483,1230,565,3547,1442,521,3692
19,BYU,Big 12,24,6,0.8,101,170,1211,34,464,1256,1320,442,3205,1151,605,3212
20,Ball St.,MAC,17,14,0.548,111,134,1374,66,348,1693,1477,531,3973,1506,610,4092
21,Baylor,Big 12,17,12,0.586,108,151,1296,49,322,1407,1419,552,3645,1328,544,3524
22,Belmont,MVC,14,20,0.412,129,171,1518,42,366,1967,1611,761,4596,1602,607,4464
23,Bethune-Cookman,SWAC,7,21,0.25,99,117,924,70,292,1381,989,527,3237,1257,555,3469
24,Binghamton,America East,15,13,0.536,105,186,1141,43,501,1450,1238,458,3478,1318,618,3706
25,Boise St.,Mountain West,14,15,0.483,105,182,1233,52,367,1548,1359,611,3763,1376,527,3683
26,Boston College,ACC,19,13,0.594,115,178,1305,59,458,1615,1386,611,3880,1359,636,3916
27,Bowling Green,MAC,19,13,0.594,124,229,1516,50,404,1606,1630,597,4028,1474,639,3977
28,Bradley,MVC,9,22,0.29,113,172,1141,59,371,1746,1264,627,4010,1493,596,4189
29,Brown,Ivy League,19,7,0.731,91,162,1132,46,316,1402,1251,439,3193,1035,490,3128
30,Bryant,America East,19,12,0.613,119,236,1370,28,422,1534,1475,716,3890,1244,592,3703
31,Bucknell,Patriot,15,11,0.577,97,106,1127,54,318,1730,1213,549,3610,1232,588,3843
32,Buffalo,MAC,23,8,0.742,116,218,1474,90,260,1579,1581,529,3916,1386,577,3781
33,Butler,Big East,13,16,0.448,112,135,1358,37,354,1733,1459,601,4154,1420,573,3996
34,CSU Bakersfield,Big West,9,21,0.3,113,173,1226,26,377,1568,1317,644,3862,1388,541,3789
35,CSUN,Big West,6,23,0.207,113,154,1221,50,329,1476,1311,641,3813,1422,539,3685
36,Cal Poly,Big West,21,11,0.656,130,213,1415,57,472,1867,1539,637,4343,1531,706,4496
37,Cal St. Fullerton,Big West,2,25,0.074,99,116,959,33,260,1301,1023,549,3243,1335,448,3350
38,California,Pac-12,16,15,0.516,115,183,1328,42,380,1651,1437,630,3967,1358,582,3830
39,California Baptist,WAC,14,14,0.5,108,196,1284,27,308,1619,1378,500,3866,1421,490,3796
40,Campbell,CAA,17,13,0.567,115,169,1345,54,346,1693,1438,589,3956,1387,616,3929
41,Canisius,MAAC,10,16,0.385,102,201,1126,28,303,1602,1204,516,3682,1245,532,3657
42,Central Ark.,ASUN,8,20,0.286,107,159,1222,47,244,1554,1337,584,3652,1326,455,3601
43,Central Conn. St.,NEC,6,20,0.231,99,141,922,54,279,1247,979,521,3125,1263,543,3310
44,Central Mich.,MAC,15,15,0.5,116,201,1318,78,276,1668,1427,587,3923,1464,559,3916
45,Charleston So.,Big South,9,19,0.321,107,137,1099,45,288,1560,1201,597,3624,1335,559,3703
46,Charlotte,AAC,11,20,0.355,118,142,1206,69,434,1856,1294,650,4252,1535,657,4384
47,Chattanooga,SoCon,19,14,0.576,122,169,1442,62,312,2170,1573,565,4657,1702,677,4830
48,Chicago St.,DI Independent,13,9,0.591,73,119,872,35,223,1043,929,424,2437,796,397,2416
49,Cincinnati,Big 12,12,16,0.429,108,142,1248,58,364,1589,1312,560,3640,1409,553,3806
50,Clemson,ACC,18,13,0.581,109,171,1187,67,348,1503,1288,559,3638,1413,613,3796
51,Cleveland St.,Horizon,17,14,0.548,120,155,1341,82,386,2046,1483,573,4384,1536,675,4575
52,Coastal Carolina,Sun Belt,22,9,0.71,121,190,1529,74,335,1857,1636,616,4348,1521,637,4329
53,Col. of Charleston,CAA,14,16,0.467,109,131,1242,49,329,1781,1393,509,3966,1422,602,4079
54,Colgate,Patriot,22,7,0.759,107,154,1271,58,444,1522,1366,485,3692,1319,666,3775
55,Colorado,Pac-12,16,15,0.516,115,164,1283,86,427,1228,1387,520,3452,1542,652,3625
56,Colorado St.,Mountain West,19,12,0.613,127,194,1558,50,400,1640,1694,542,4059,1615,622,4186
57,Columbia,Ivy League,3,20,0.13,82,100,772,28,284,884,833,460,2458,1040,393,2487
58,Coppin St.,MEAC,27,4,0.871,109,214,1278,49,345,1640,1400,546,3733,1141,615,3686
59,Cornell,Ivy League,7,16,0.304,86,120,921,51,303,1076,980,460,2810,1041,478,2813
60,Creighton,Big East,27,4,0.871,105,164,1401,38,395,1711,1521,463,3696,1112,611,3730
61,Dartmouth,Ivy League,9,14,0.391,85,156,920,28,245,1117,973,450,2804,1012,426,2716
62,Davidson,Atlantic 10,19,10,0.655,108,158,1341,61,302,1829,1446,624,4033,1284,610,3983
63,Dayton,Atlantic 10,31,2,0.939,114,263,1452,34,483,1692,1571,493,3834,1213,672,3856
64,DePaul,Big East,18,15,0.545,112,106,1373,52,392,1812,1463,649,4228,1556,648,4323
65,Delaware,CAA,24,4,0.857,108,202,1235,29,463,1510,1378,481,3483,1281,585,3622
66,Delaware St.,MEAC,17,13,0.567,109,209,1211,66,234,1536,1327,521,3631,1196,546,3596
67,Denver,Summit League,14,12,0.538,96,178,1116,40,388,1214,1204,482,3113,1150,505,3070
68,Drake,MVC,24,10,0.706,119,136,1532,55,456,2038,1615,523,4280,1462,716,4552
69,Duke,ACC,19,10,0.655,107,175,1293,33,441,1465,1407,502,3589,1294,607,3638
70,Duquesne,Atlantic 10,11,15,0.423,101,153,1181,39,370,1538,1263,557,3621,1283,537,3623
71,ETSU,SoCon,6,23,0.207,109,145,1180,52,276,1535,1241,668,3665,1408,539,3706
72,East Carolina,AAC,20,10,0.667,112,177,1322,70,419,1701,1411,509,3828,1328,687,3978
73,Eastern Ill.,OVC,28,5,0.848,121,243,1573,44,347,1825,1672,544,4079,1299,608,3970
74,Eastern Ky.,ASUN,21,9,0.7,104,192,1373,80,238,1681,1465,507,3785,1269,536,3685
75,Eastern Mich.,MAC,5,25,0.167,110,144,1165,51,287,1763,1252,628,4099,1497,553,4135
76,Eastern Wash.,Big Sky,13,17,0.433,111,188,1168,78,384,1570,1308,586,3870,1381,603,3869
77,Elon,CAA,5,22,0.185,96,148,982,46,267,1343,1081,571,3284,1188,479,3210
78,Evansville,MVC,11,19,0.367,111,179,1302,61,305,1765,1369,615,4172,1499,570,4130
79,FDU,NEC,14,17,0.452,118,196,1357,55,315,1660,1462,642,4004,1397,617,3972
80,FGCU,ASUN,26,7,0.788,122,208,1418,48,484,1653,1531,588,4052,1367,670,3958
81,FIU,CUSA,13,19,0.406,116,177,1180,73,325,1453,1312,600,3589,1497,601,3839
82,Fairfield,MAAC,22,7,0.759,99,163,1134,54,364,1630,1237,476,3499,1194,640,3744
83,Fla. Atlantic,AAC,20,12,0.625,117,169,1465,75,315,1804,1580,692,4276,1447,607,4153
84,Florida,SEC,19,9,0.679,105,166,1299,33,500,1396,1380,488,3389,1278,534,3468
85,Florida A&M,SWAC,18,14,0.562,123,205,1355,84,264,1865,1480,593,4117,1415,631,4223
86,Florida St.,ACC,23,8,0.742,114,166,1388,44,451,1534,1532,443,3706,1485,623,3972
87,Fordham,Atlantic 10,17,12,0.586,110,144,1244,34,388,1830,1357,559,4052,1458,623,4240
88,Fresno St.,Mountain West,19,13,0.594,128,203,1410,104,380,1752,1557,638,4269,1595,689,4401
89,Furman,SoCon,17,11,0.607,109,171,1281,64,343,1761,1381,547,4002,1325,619,4018
90,Ga. Southern,Sun Belt,21,8,0.724,105,164,1270,103,362,1574,1360,450,3598,1267,644,3764
91,Gardner-Webb,Big South,14,13,0.519,100,190,1111,54,220,1620,1200,591,3599,1175,509,3533
92,George Mason,Atlantic 10,9,21,0.3,115,165,1324,47,330,1610,1414,677,3978,1343,545,3742
93,George Washington,Atlantic 10,7,22,0.241,110,156,1189,55,309,1458,1286,544,3715,1441,533,3682
94,Georgetown,Big East,14,16,0.467,115,174,1274,58,321,1577,1384,574,3907,1382,595,3900
95,Georgia,SEC,19,11,0.633,110,199,1344,34,423,1387,1448,573,3597,1291,542,3489
96,Georgia St.,Sun Belt,5,23,0.179,104,136,1025,66,317,1656,1095,583,3677,1343,539,3868
97,Georgia Tech,ACC,23,6,0.793,104,174,1293,61,276,1545,1412,512,3623,1175,547,3493
98,Gonzaga,WCC,3,24,0.111,97,155,975,40,287,1254,1034,517,3295,1336,480,3277
99,Grambling,SWAC,10,20,0.333,107,151,1041,58,178,1725,1169,631,4033,1187,574,3893
100,Grand Canyon,WAC,23,7,0.767,105,197,1301,91,384,1513,1400,427,3523,1261,617,3628
101,Green Bay,Horizon,16,16,0.5,124,213,1399,43,370,1847,1514,622,4425,1630,668,4383
102,Hampton,CAA,0,19,0,59,52,410,21,122,627,439,323,1812,849,256,1852
103,Harvard,Ivy League,15,9,0.625,89,151,990,54,370,1086,1081,440,2809,1031,512,2848
104,Hawaii,Big West,24,8,0.75,110,160,1449,65,338,1690,1543,576,3935,1252,577,3814
105,High Point,Big South,23,7,0.767,107,178,1263,50,379,1612,1380,497,3588,1144,593,3685
106,Hofstra,CAA,18,11,0.621,109,224,1363,48,289,1561,1482,570,3781,1195,507,3506
107,Holy Cross,Patriot,4,21,0.16,86,129,834,15,222,1192,889,535,2871,1113,409,2927
108,Houston,Big 12,18,9,0.667,95,141,1186,42,358,1434,1293,475,3330,1105,524,3319
109,Houston Christian,Southland,19,13,0.594,114,142,1354,56,386,2023,1472,642,4394,1495,641,4464
110,Howard,MEAC,17,14,0.548,114,212,1271,37,292,1445,1403,596,3673,1216,516,3497
111,IUPUI,Horizon,9,20,0.31,113,200,1231,46,226,1544,1347,744,3853,1215,480,3457
112,Idaho,Big Sky,1,27,0.036,94,125,850,30,226,1251,929,564,3111,1259,416,3125
113,Idaho St.,Big Sky,8,20,0.286,99,136,1112,96,252,1507,1216,552,3580,1344,530,3732
114,Illinois,Big Ten,16,14,0.533,115,176,1256,48,449,1534,1392,602,3891,1429,593,3912
115,Illinois St.,MVC,12,19,0.387,110,167,1268,54,338,1664,1383,603,3942,1406,547,3885
116,Indiana,Big Ten,21,12,0.636,122,215,1478,91,424,1647,1623,622,4224,1392,654,3951
117,Indiana St.,MVC,5,23,0.179,101,145,1115,37,253,1478,1194,552,3817,1468,481,3722
118,Iona,MAAC,15,16,0.484,117,180,1310,48,279,2079,1389,675,4476,1384,654,4415
119,Iowa,Big Ten,8,24,0.25,111,162,1175,35,365,1589,1275,546,3882,1556,560,4006
120,Iowa St.,Big 12,20,10,0.667,108,151,1327,64,347,1511,1453,536,3781,1329,567,3702
121,Jackson St.,SWAC,17,13,0.567,109,177,1205,52,326,1459,1328,622,3623,1233,544,3477
122,Jacksonville,ASUN,9,19,0.321,105,172,1230,43,323,1437,1298,459,3647,1321,504,3537
123,Jacksonville St.,CUSA,5,22,0.185,89,104,882,45,199,1124,985,509,2942,1111,371,2789
124,James Madison,Sun Belt,21,10,0.677,114,205,1382,104,330,1761,1497,550,4111,1439,546,4024
125,Kansas,Big 12,24,5,0.828,103,117,1342,63,373,1607,1444,449,3616,1313,564,3766
126,Kansas City,Summit League,22,9,0.71,121,180,1435,49,443,2015,1556,525,4420,1557,705,4639
127,Kansas St.,Big 12,16,11,0.593,97,147,1144,51,386,1478,1235,484,3341,1132,553,3397
128,Kennesaw St.,ASUN,18,11,0.621,114,171,1419,55,362,1583,1526,598,3855,1366,561,3781
129,Kent St.,MAC,6,23,0.207,106,150,1129,42,280,1591,1208,579,3707,1428,494,3745
130,Kentucky,SEC,20,7,0.741,97,137,1301,31,318,1323,1396,452,3345,1165,455,3193
131,LIU,NEC,13,18,0.419,114,188,1148,71,419,1672,1225,554,3908,1453,699,4142
132,LMU (CA),WCC,20,6,0.769,91,154,1113,41,402,1153,1220,423,2841,937,497,2851
133,LSU,SEC,11,17,0.393,103,147,1212,48,298,1298,1290,507,3377,1324,475,3274
134,Lafayette,Patriot,9,15,0.375,85,131,899,56,196,1253,964,453,2949,1075,441,2954
135,Lamar University,Southland,2,27,0.069,98,124,948,60,244,1363,1029,543,3387,1374,484,3460
136,Lehigh,Patriot,13,14,0.481,106,174,1135,68,416,1554,1260,537,3682,1338,594,3784
137,Liberty,CUSA,15,14,0.517,105,163,1240,40,382,1332,1337,596,3528,1241,514,3344
138,Lipscomb,ASUN,21,8,0.724,117,219,1458,77,302,1484,1553,604,3877,1291,539,3526
139,Little Rock,OVC,11,19,0.367,110,184,1007,77,265,1616,1103,589,3719,1371,608,3940
140,Long Beach St.,Big West,21,10,0.677,114,196,1390,51,385,1526,1523,596,3796,1248,599,3664
141,Louisiana,Sun Belt,19,13,0.594,119,156,1481,40,354,1864,1582,624,4271,1404,605,4140
142,Louisiana Tech,CUSA,8,21,0.276,97,155,913,46,277,1457,989,517,3393,1293,521,3515
143,Louisville,ACC,25,4,0.862,100,180,1253,67,326,1340,1363,446,3236,1126,565,3265
144,Loyola Chicago,Atlantic 10,19,12,0.613,107,186,1313,39,384,1633,1422,581,3721,1270,569,3729
145,Loyola Maryland,Patriot,11,16,0.407,93,147,1075,37,214,1411,1173,616,3372,1029,445,3088
146,Manhattan,MAAC,9,22,0.29,113,180,1135,36,248,1236,1237,688,3575,1407,493,3384
147,Marist,MAAC,14,16,0.467,116,163,1321,46,286,1551,1421,646,3789,1392,572,3751
148,Marquette,Big East,21,10,0.677,108,185,1285,55,361,1688,1380,484,3767,1304,587,3836
149,Marshall,Sun Belt,13,19,0.406,120,135,1342,80,357,1912,1440,620,4206,1627,642,4481
150,Maryland,Big Ten,17,15,0.531,114,160,1242,44,471,1437,1363,620,3701,1365,587,3682
151,McNeese,Southland,16,17,0.485,117,162,1499,70,298,1946,1581,613,4377,1457,565,4281
152,Memphis,AAC,11,20,0.355,115,180,1279,42,323,1711,1377,681,4069,1402,567,3943
153,Mercer,SoCon,16,12,0.571,103,185,1184,43,289,1521,1271,518,3546,1290,537,3578
154,Miami (FL),ACC,18,11,0.621,106,168,1339,29,411,1415,1450,565,3625,1278,548,3457
155,Miami (OH),MAC,5,25,0.167,104,121,1130,48,226,1353,1213,568,3462,1408,461,3454
156,Michigan,Big Ten,7,22,0.241,102,176,1095,43,277,1372,1184,599,3467,1255,442,3296
157,Michigan St.,Big Ten,17,14,0.548,116,163,1337,56,342,1561,1462,645,3852,1302,571,3718
158,Middle Tenn.,CUSA,20,10,0.667,105,192,1319,52,275,1183,1437,461,3203,1198,490,3042
159,Milwaukee,Horizon,21,12,0.636,127,166,1546,62,435,1827,1661,563,4308,1636,716,4499
160,Minnesota,Big Ten,16,12,0.571,107,157,1231,31,469,1564,1330,494,3675,1318,617,3769
161,Mississippi St.,SEC,13,15,0.464,100,113,1076,65,342,1380,1166,464,3402,1336,571,3514
162,Mississippi Val.,SWAC,3,24,0.111,85,84,498,29,62,990,563,460,2495,1101,342,2653
163,Missouri,SEC,17,12,0.586,109,172,1322,26,370,1529,1406,591,3694,1318,486,3610
164,Missouri St.,MVC,16,16,0.5,122,171,1363,52,426,2061,1465,610,4549,1613,697,4772
165,Montana,Big Sky,11,18,0.379,111,179,1235,41,355,1516,1347,552,3716,1416,526,3743
